Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
107,Botad,,Jowar(Sorghum),3000,3750,3400,04-10-2024
108,Botad,,Jowar(Sorghum),3000,3900,3450,22-04-2024
109,Botad,,Jowar(Sorghum),3000,4090,3600,17-09-2024
110,Botad,,Jowar(Sorghum),3000,4750,3875,24-04-2024
111,Botad,,Jowar(Sorghum),3175,4150,3750,12-09-2024
112,Botad,,Jowar(Sorghum),3325,4400,3900,31-08-2024
113,Botad,,Jowar(Sorghum),3430,3970,3750,29-07-2024
114,Botad,,Jowar(Sorghum),3500,4750,4125,15-02-2024
115,Botad,,Jowar(Sorghum),3575,4195,3900,20-07-2024
116,Botad,,Jowar(Sorghum),3650,3650,3650,02-09-2024
117,Botad,,Jowar(Sorghum),3715,4370,4100,14-05-2024
118,Botad,,Jowar(Sorghum),3790,3950,3900,15-05-2024
119,Botad,,Jowar(Sorghum),3790,4025,3900,17-05-2024
120,Botad,,Jowar(Sorghum),3800,4095,4000,07-11-2024
121,Botad,,Jowar(Sorghum),3850,3950,3950,17-10-2024
122,Botad,,Jowar(Sorghum),3880,4680,4300,24-12-2024
123,Botad,,Jowar(Sorghum),3900,3950,3950,03-10-2024
124,Botad,,Jowar(Sorghum),3900,4400,4250,25-07-2024
125,Botad,,Jowar(Sorghum),3905,3905,3905,04-12-2024
126,Botad,,Jowar(Sorghum),4075,4075,4075,21-12-2024
127,Botad,,Jowar(Sorghum),4275,4450,4365,20-06-2024
128,Botad,,Jowar(Sorghum),4290,4375,4350,24-06-2024
129,Botad,,Jowar(Sorghum),4405,4490,4450,25-06-2024
130,Botad,,Jowar(Sorghum),4500,4950,4725,16-02-2024
131,Botad,,Jowar(Sorghum),5240,5555,5400,09-02-2024
