Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
151,Baran,Wheat,FAQ,2470,2520,2495,06-07-2024
152,Baran,Wheat,FAQ,2490,2548,2519,02-08-2024
153,Baran,Wheat,FAQ,2675,2911,2793,05-12-2024
154,Baran,Wheat,FAQ,2450,2600,2525,22-06-2024
155,Baran,Wheat,FAQ,2200,2611,2405,20-04-2024
156,Baran,Wheat,FAQ,2350,2501,2425,01-06-2024
157,Baran,Wheat,FAQ,2728,2781,2754,13-12-2024
158,Baran,Wheat,FAQ,2731,2797,2764,11-12-2024
159,Baran,Wheat,FAQ,2838,2867,2852,27-12-2024
160,Baran,Wheat,FAQ,2651,2811,2731,24-10-2024
161,Baran,Wheat,FAQ,2398,2840,2619,19-01-2024
162,Baran,Wheat,FAQ,2582,2598,2590,17-08-2024
163,Baran,Wheat,FAQ,2170,2548,2359,22-02-2024
164,Baran,Wheat,FAQ,2425,2600,2512,03-02-2024
165,Baran,Wheat,FAQ,2526,2541,2533,05-07-2024
166,Baran,Wheat,FAQ,2371,2590,2480,10-06-2024
167,Baran,Wheat,FAQ,2771,2820,2795,20-11-2024
168,Baran,Wheat,FAQ,2136,2675,2406,24-02-2024
169,Baran,Wheat,FAQ,2720,2785,2752,17-12-2024
170,Baran,Wheat,FAQ,2220,2525,2372,14-05-2024
171,Baran,Wheat,FAQ,2411,2568,2489,05-06-2024
172,Baran,Wheat,FAQ,2585,2607,2596,12-08-2024
173,Baran,Wheat,FAQ,2607,2641,2624,23-08-2024
174,Baran,Wheat,FAQ,2568,2597,2582,02-09-2024
175,Baran,Wheat,FAQ,2472,2618,2545,18-09-2024
176,Baran,Wheat,FAQ,2801,2845,2823,26-12-2024
177,Baran,Wheat,FAQ,2250,2540,2395,18-04-2024
178,Baran,Wheat,FAQ,2575,2625,2600,31-08-2024
179,Baran,Wheat,FAQ,2190,2440,2315,14-02-2024
180,Baran,Wheat,FAQ,2751,2815,2783,25-12-2024
