Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
69,Dausa,Wheat,FAQ,2200,2300,2250,31-Jan-24
70,Dausa,Wheat,FAQ,2290,2740,2515,27-Apr-24
71,Dausa,Wheat,FAQ,2650,2821,2735,02-Dec-24
72,Dausa,Wheat,FAQ,2150,2600,2375,20-Mar-24
73,Dausa,Wheat,FAQ,2280,2401,2340,13-Apr-24
74,Dausa,Wheat,FAQ,2298,2411,2354,20-May-24
75,Dausa,Wheat,FAQ,2200,2665,2433,21-Jan-24
76,Dausa,Wheat,FAQ,2440,2570,2505,26-May-24
77,Dausa,Wheat,FAQ,2410,2450,2430,29-Jun-24
78,Dausa,Wheat,FAQ,2650,2738,2694,13-Oct-24
79,Dausa,Wheat,FAQ,2700,2928,2814,18-Nov-24
80,Dausa,Wheat,FAQ,2650,2700,2675,11-Oct-24
81,Dausa,Wheat,FAQ,2290,2501,2395,25-Apr-24
82,Dausa,Wheat,FAQ,2470,2565,2517,22-Aug-24
83,Dausa,Wheat,FAQ,2100,2450,2275,11-Mar-24
84,Dausa,Wheat,FAQ,2610,2650,2630,27-Sep-24
85,Dausa,Wheat,FAQ,2510,2600,2555,13-Sep-24
86,Dausa,Wheat,FAQ,2610,2675,2642,29-Sep-24
87,Dausa,Wheat,FAQ,2450,2460,2455,28-Jun-24
88,Dausa,Wheat,FAQ,2440,2510,2475,06-Mar-24
89,Dausa,Wheat,FAQ,2425,2460,2442,24-Jun-24
90,Dausa,Wheat,FAQ,2390,2441,2415,04-Aug-24
91,Dausa,Wheat,FAQ,2580,2750,2665,17-Oct-24
92,Dausa,Wheat,FAQ,2430,2430,2430,08-Feb-24
93,Dausa,Wheat,FAQ,2670,2800,2735,20-Oct-24
94,Dausa,Wheat,FAQ,2780,2880,2830,05-Nov-24
95,Dausa,Wheat,FAQ,2410,2440,2425,27-Jun-24
96,Dausa,Wheat,FAQ,2610,2668,2639,30-Sep-24
97,Dausa,Wheat,FAQ,2550,2700,2625,09-Oct-24
98,Dausa,Wheat,FAQ,2810,2850,2830,12-Dec-24
99,Dausa,Wheat,FAQ,2405,2450,2427,10-Jul-24
100,Dausa,Wheat,FAQ,2417,2420,2418,22-Jul-24
101,Dausa,Wheat,FAQ,2405,2445,2425,25-Jul-24
102,Dausa,Wheat,FAQ,2611,2850,2730,04-Feb-24
103,Dausa,Wheat,FAQ,2590,2650,2620,23-Sep-24
104,Dausa,Wheat,FAQ,2100,2365,2232,21-Feb-24
105,Dausa,Wheat,FAQ,2490,2590,2540,28-Aug-24
106,Dausa,Wheat,FAQ,2720,2750,2735,06-Dec-24
107,Dausa,Wheat,FAQ,2540,2590,2565,19-Sep-24
108,Dausa,Wheat,FAQ,2548,2554,2551,18-Sep-24
109,Dausa,Wheat,FAQ,2300,2515,2407,03-May-24
110,Dausa,Wheat,FAQ,2550,2688,2619,25-Sep-24
111,Dausa,Wheat,FAQ,2845,2900,2872,23-Dec-24
112,Dausa,Wheat,FAQ,2280,2470,2375,24-Apr-24
113,Dausa,Wheat,FAQ,2750,2850,2800,22-Nov-24
114,Dausa,Wheat,FAQ,2100,2550,2325,10-Mar-24
115,Dausa,Wheat,FAQ,2680,2795,2737,26-Oct-24
116,Dausa,Wheat,FAQ,2400,3301,2850,24-May-24
117,Dausa,Wheat,FAQ,2820,2856,2838,19-Dec-24
118,Dausa,Wheat,FAQ,2200,2380,2290,12-Apr-24
119,Dausa,Wheat,FAQ,2195,2458,2326,11-Feb-24
120,Dausa,Wheat,FAQ,2400,2470,2435,03-Jun-24
121,Dausa,Wheat,FAQ,2311,2400,2355,13-May-24
122,Dausa,Wheat,FAQ,2400,2450,2425,15-Jul-24
123,Dausa,Wheat,FAQ,2280,2546,2413,31-Aug-24
124,Dausa,Wheat,FAQ,2435,2440,2437,08-Jul-24
125,Dausa,Wheat,FAQ,2850,2850,2850,22-Dec-24
126,Dausa,Wheat,FAQ,2580,2678,2629,28-Sep-24
127,Dausa,Wheat,FAQ,2200,2360,2280,13-Mar-24
128,Dausa,Wheat,FAQ,2825,2830,2827,11-Dec-24
129,Dausa,Wheat,FAQ,2550,2571,2560,25-May-24
130,Dausa,Wheat,FAQ,2850,3000,2925,01-Jan-25
131,Dausa,Wheat,FAQ,2550,2750,2650,16-Oct-24
132,Dausa,Wheat,FAQ,2300,2338,2319,17-May-24
133,Dausa,Wheat,FAQ,2400,2400,2400,12-Jul-24
134,Dausa,Wheat,FAQ,2750,2870,2810,09-Nov-24
135,Dausa,Wheat,FAQ,2650,2750,2700,19-Oct-24
136,Dausa,Wheat,FAQ,2550,2750,2650,18-Oct-24
137,Dausa,Wheat,FAQ,2480,2530,2505,07-Sep-24
138,Dausa,Wheat,FAQ,2710,2740,2725,09-Dec-24
139,Dausa,Wheat,FAQ,2848,2850,2849,14-Dec-24
140,Dausa,Wheat,FAQ,2817,2940,2878,17-Nov-24
141,Dausa,Wheat,FAQ,2430,2450,2440,05-Aug-24
142,Dausa,Wheat,FAQ,2700,2778,2739,04-Dec-24
143,Dausa,Wheat,FAQ,2420,2650,2535,03-Feb-24
144,Dausa,Wheat,FAQ,2540,2550,2545,16-Sep-24
145,Dausa,Wheat,FAQ,2295,2420,2357,29-Apr-24
146,Dausa,Wheat,FAQ,2430,2482,2456,05-Jul-24
147,Dausa,Wheat,FAQ,2380,2462,2421,11-May-24
148,Dausa,Wheat,FAQ,2150,2425,2287,17-Apr-24
149,Dausa,Wheat,FAQ,2530,2571,2550,15-Sep-24
150,Dausa,Wheat,FAQ,2720,2820,2770,27-Oct-24
151,Dausa,Wheat,FAQ,2300,2500,2400,15-May-24
152,Dausa,Wheat,FAQ,2340,2535,2437,27-Mar-24
153,Dausa,Wheat,FAQ,2125,2125,2125,04-Jan-24
154,Dausa,Wheat,FAQ,2600,2800,2700,15-Dec-24
155,Dausa,Wheat,FAQ,2540,2625,2582,21-Sep-24
156,Dausa,Wheat,FAQ,2710,2750,2730,27-Nov-24
157,Dausa,Wheat,FAQ,2310,2540,2425,29-Jan-24
158,Dausa,Wheat,FAQ,2750,2800,2775,23-Oct-24
159,Dausa,Wheat,FAQ,2150,2510,2330,06-Jan-24
160,Dausa,Wheat,FAQ,2300,2390,2345,06-May-24
161,Dausa,Wheat,FAQ,2610,2615,2612,28-Jan-24
162,Dausa,Wheat,FAQ,2200,2505,2352,14-Apr-24
163,Dausa,Wheat,FAQ,2285,2425,2355,04-May-24
164,Dausa,Wheat,FAQ,2430,2440,2435,21-Jun-24
165,Dausa,Wheat,FAQ,2280,2405,2342,15-Apr-24
166,Dausa,Wheat,FAQ,2150,2425,2287,07-Jan-24
167,Dausa,Wheat,FAQ,2415,2440,2427,03-Aug-24
168,Dausa,Wheat,FAQ,2850,3000,2925,30-Dec-24
169,Dausa,Wheat,FAQ,2215,2395,2305,26-Feb-24
170,Dausa,Wheat,FAQ,2415,2435,2425,31-May-24
171,Dausa,Wheat,FAQ,2540,2670,2605,22-Sep-24
172,Dausa,Wheat,FAQ,2740,2825,2782,13-Nov-24
173,Dausa,Wheat,FAQ,2250,2387,2318,11-Apr-24
174,Dausa,Wheat,FAQ,2400,2433,2416,17-Jul-24
175,Dausa,Wheat,FAQ,2400,2405,2402,26-Jul-24
176,Dausa,Wheat,FAQ,2430,2450,2440,20-Jun-24
177,Dausa,Wheat,FAQ,2300,2455,2377,16-May-24
178,Dausa,Wheat,FAQ,2840,2875,2857,25-Dec-24
179,Dausa,Wheat,FAQ,2400,2402,2401,29-Jul-24
180,Dausa,Wheat,FAQ,2320,2458,2389,08-May-24
181,Dausa,Wheat,FAQ,2420,2425,2422,18-Jul-24
182,Dausa,Wheat,FAQ,2350,2455,2402,02-Jun-24
183,Dausa,Wheat,FAQ,2322,5960,2371,02-May-24
184,Dausa,Wheat,FAQ,2750,2870,2810,11-Nov-24
185,Dausa,Wheat,FAQ,2400,2445,2422,23-May-24
186,Dausa,Wheat,FAQ,2840,2925,2882,26-Dec-24
187,Dausa,Wheat,FAQ,2325,2551,2438,05-May-24
188,Dausa,Wheat,FAQ,2290,2485,2387,10-May-24
189,Dausa,Wheat,FAQ,2525,2688,2606,01-Feb-24
190,Dausa,Wheat,FAQ,2430,2570,2500,06-Jul-24
191,Dausa,Wheat,FAQ,2525,2567,2546,29-Aug-24
192,Dausa,Wheat,FAQ,2550,2680,2615,05-Oct-24
193,Dausa,Wheat,FAQ,2600,2600,2600,21-Mar-24
194,Dausa,Wheat,FAQ,2800,2900,2850,13-Dec-24
195,Dausa,Wheat,FAQ,2400,2500,2450,29-May-24
196,Dausa,Wheat,FAQ,2430,2495,2462,01-Jun-24
197,Dausa,Wheat,FAQ,2430,2480,2455,26-Jun-24
198,Dausa,Wheat,FAQ,2820,2850,2835,16-Dec-24
199,Dausa,Wheat,FAQ,2444,2490,2467,23-Jun-24
200,Dausa,Wheat,FAQ,2710,2752,2731,05-Dec-24
201,Dausa,Wheat,FAQ,2407,2440,2423,07-Aug-24
202,Dausa,Wheat,FAQ,2670,2830,2750,28-Oct-24
203,Dausa,Wheat,FAQ,2180,2238,2209,22-Feb-24
204,Dausa,Wheat,FAQ,2440,2480,2460,06-Jun-24
205,Dausa,Wheat,FAQ,2750,2850,2800,08-Nov-24
206,Dausa,Wheat,FAQ,2913,2915,2914,27-Dec-24
207,Dausa,Wheat,FAQ,2530,2540,2535,12-Sep-24
208,Dausa,Wheat,FAQ,2510,2548,2529,04-Sep-24
209,Dausa,Wheat,FAQ,2590,2688,2639,03-Oct-24
210,Dausa,Wheat,FAQ,2100,2100,2100,24-Feb-24
211,Dausa,Wheat,FAQ,2400,2460,2430,28-Jul-24
212,Dausa,Wheat,FAQ,2375,2492,2433,19-Jun-24
213,Dausa,Wheat,FAQ,2400,2550,2475,18-Mar-24
214,Dausa,Wheat,FAQ,2150,2360,2255,01-Mar-24
215,Dausa,Wheat,FAQ,2790,2790,2790,23-Feb-24
