Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
107,Banaskanth,,Jowar(Sorghum),5215,5425,5320,09-03-2024
108,Banaskanth,,Jowar(Sorghum),5225,5275,5250,28-06-2024
109,Banaskanth,,Jowar(Sorghum),5225,5425,5325,04-03-2024
110,Banaskanth,,Jowar(Sorghum),5225,5425,5325,07-03-2024
111,Banaskanth,,Jowar(Sorghum),5225,5675,5450,19-01-2024
112,Banaskanth,,Jowar(Sorghum),5230,5350,5290,11-03-2024
113,Banaskanth,,Jowar(Sorghum),5250,5550,5400,11-01-2024
114,Banaskanth,,Jowar(Sorghum),5255,5675,5465,20-01-2024
115,Banaskanth,,Jowar(Sorghum),5290,5675,5482,05-02-2024
116,Banaskanth,,Jowar(Sorghum),5305,5375,5340,29-02-2024
117,Banaskanth,,Jowar(Sorghum),5325,5325,5325,22-06-2024
118,Banaskanth,,Jowar(Sorghum),5325,5480,5402,16-02-2024
119,Banaskanth,,Jowar(Sorghum),5325,5555,5440,01-03-2024
120,Banaskanth,,Jowar(Sorghum),5335,5570,5453,05-01-2024
121,Banaskanth,,Jowar(Sorghum),5350,5555,5452,15-02-2024
122,Banaskanth,,Jowar(Sorghum),5375,5460,5418,16-01-2024
123,Banaskanth,,Jowar(Sorghum),5380,5500,5440,27-06-2024
124,Banaskanth,,Jowar(Sorghum),5400,5490,5445,17-02-2024
125,Banaskanth,,Jowar(Sorghum),5400,5585,5492,08-02-2024
126,Banaskanth,,Jowar(Sorghum),5400,5705,5553,29-01-2024
127,Banaskanth,,Jowar(Sorghum),5400,5755,5578,24-01-2024
128,Banaskanth,,Jowar(Sorghum),5460,5700,5580,03-02-2024
129,Banaskanth,,Jowar(Sorghum),5475,5805,5640,27-01-2024
130,Banaskanth,,Jowar(Sorghum),5500,5560,5530,08-01-2024
131,Banaskanth,,Jowar(Sorghum),5515,5705,5610,02-02-2024
