Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
39,Mirzapur,Wheat,FAQ,2275,2320,2275,03-05-2024
40,Mirzapur,Wheat,FAQ,2275,2400,2325,02-06-2024
41,Mirzapur,Wheat,FAQ,2450,2620,2530,15-01-2024
42,Mirzapur,Wheat,FAQ,2300,2450,2370,22-06-2024
43,Mirzapur,Wheat,FAQ,2450,2650,2540,04-03-2024
44,Mirzapur,Wheat,FAQ,2450,2550,2500,15-03-2024
45,Mirzapur,Wheat,FAQ,2275,2360,2310,11-05-2024
46,Mirzapur,Wheat,FAQ,2285,2285,2285,11-04-2024
47,Mirzapur,Wheat,FAQ,2450,2600,2530,29-01-2024
48,Mirzapur,Wheat,FAQ,2285,2350,2285,12-04-2024
49,Mirzapur,Wheat,FAQ,2438,2650,2530,27-01-2024
50,Mirzapur,Wheat,FAQ,2400,2500,2450,28-03-2024
51,Mirzapur,Wheat,FAQ,2275,2400,2325,04-06-2024
52,Mirzapur,Wheat,FAQ,1800,2000,1900,24-09-2024
53,Mirzapur,Wheat,FAQ,2275,2400,2320,20-05-2024
54,Mirzapur,Wheat,FAQ,2300,2450,2370,24-06-2024
55,Mirzapur,Wheat,FAQ,2450,2600,2520,08-01-2024
56,Mirzapur,Wheat,FAQ,2275,2380,2310,12-05-2024
57,Mirzapur,Wheat,FAQ,2275,2350,2275,18-04-2024
58,Mirzapur,Wheat,FAQ,2450,2650,2550,29-02-2024
59,Mirzapur,Wheat,FAQ,2500,2650,2540,03-03-2024
60,Mirzapur,Wheat,FAQ,2450,2600,2510,04-01-2024
61,Mirzapur,Wheat,FAQ,2420,2600,2520,09-01-2024
62,Mirzapur,Wheat,FAQ,2300,2450,2370,21-06-2024
63,Mirzapur,Wheat,FAQ,2350,2500,2410,28-06-2024
64,Mirzapur,Wheat,FAQ,2275,2400,2320,30-05-2024
65,Mirzapur,Wheat,FAQ,2275,2400,2320,16-05-2024
66,Mirzapur,Wheat,FAQ,2275,2300,2275,02-05-2024
67,Mirzapur,Wheat,FAQ,2350,2500,2430,14-03-2024
68,Mirzapur,Wheat,FAQ,2275,2400,2310,14-05-2024
69,Mirzapur,Wheat,FAQ,2480,2600,2540,18-01-2024
70,Mirzapur,Wheat,FAQ,2350,2500,2420,16-03-2024
71,Mirzapur,Wheat,FAQ,2450,2650,2550,04-02-2024
72,Mirzapur,Wheat,FAQ,2350,2500,2420,26-03-2024
73,Mirzapur,Wheat,FAQ,2275,2400,2315,15-05-2024
74,Mirzapur,Wheat,FAQ,2450,2600,2520,12-01-2024
75,Mirzapur,Wheat,FAQ,2275,2350,2305,05-05-2024
76,Mirzapur,Wheat,FAQ,2400,2400,2400,19-12-2024
77,Mirzapur,Wheat,FAQ,2275,2400,2315,28-05-2024
78,Mirzapur,Wheat,FAQ,2500,2620,2540,26-01-2024
79,Mirzapur,Wheat,FAQ,2450,2680,2580,03-02-2024
80,Mirzapur,Wheat,FAQ,2500,2650,2550,19-01-2024
81,Mirzapur,Wheat,FAQ,2300,2450,2370,25-06-2024
82,Mirzapur,Wheat,FAQ,2450,2600,2530,16-01-2024
83,Mirzapur,Wheat,FAQ,2400,2500,2460,31-03-2024
84,Mirzapur,Wheat,FAQ,2275,2300,2285,27-04-2024
85,Mirzapur,Wheat,FAQ,2500,2650,2560,05-03-2024
86,Mirzapur,Wheat,FAQ,2450,2600,2520,11-01-2024
87,Mirzapur,Wheat,FAQ,2275,2400,2310,27-05-2024
88,Mirzapur,Wheat,FAQ,2400,2500,2430,23-03-2024
89,Mirzapur,Wheat,FAQ,2300,2420,2360,10-06-2024
90,Mirzapur,Wheat,FAQ,2275,2400,2315,18-05-2024
91,Mirzapur,Wheat,FAQ,2350,2500,2415,18-03-2024
92,Mirzapur,Wheat,FAQ,2500,2680,2580,20-02-2024
93,Mirzapur,Wheat,FAQ,2275,2320,2280,30-04-2024
94,Mirzapur,Wheat,FAQ,2450,2600,2520,02-01-2024
95,Mirzapur,Wheat,FAQ,2275,2275,2275,16-04-2024
96,Mirzapur,Wheat,FAQ,2500,2650,2560,07-03-2024
97,Mirzapur,Wheat,FAQ,2500,2650,2550,10-02-2024
98,Mirzapur,Wheat,FAQ,2300,2450,2370,20-06-2024
99,Mirzapur,Wheat,FAQ,2275,2400,2320,24-05-2024
100,Mirzapur,Wheat,FAQ,2350,2550,2450,02-03-2024
101,Mirzapur,Wheat,FAQ,2450,2600,2530,28-01-2024
102,Mirzapur,Wheat,FAQ,2300,2450,2375,18-06-2024
103,Mirzapur,Wheat,FAQ,2450,2600,2520,06-01-2024
104,Mirzapur,Wheat,FAQ,2450,2600,2530,11-03-2024
105,Mirzapur,Wheat,FAQ,2450,2600,2530,09-03-2024
106,Mirzapur,Wheat,FAQ,2450,2650,2550,25-02-2024
107,Mirzapur,Wheat,FAQ,2500,2650,2560,27-02-2024
108,Mirzapur,Wheat,FAQ,2400,2500,2440,30-03-2024
109,Mirzapur,Wheat,FAQ,2275,2450,2370,14-06-2024
110,Mirzapur,Wheat,FAQ,2450,2600,2530,30-01-2024
111,Mirzapur,Wheat,FAQ,2275,2275,2275,13-04-2024
112,Mirzapur,Wheat,FAQ,2450,2650,2530,23-01-2024
113,Mirzapur,Wheat,FAQ,2450,2650,2550,22-01-2024
114,Mirzapur,Wheat,FAQ,2275,2400,2320,10-05-2024
115,Mirzapur,Wheat,FAQ,2300,2450,2360,11-06-2024
116,Mirzapur,Wheat,FAQ,2300,2450,2380,15-06-2024
117,Mirzapur,Wheat,FAQ,2500,2650,2580,17-02-2024
118,Mirzapur,Wheat,FAQ,2275,2360,2305,13-05-2024
119,Mirzapur,Wheat,FAQ,2450,2550,2500,12-03-2024
120,Mirzapur,Wheat,FAQ,2500,2620,2560,15-02-2024
121,Mirzapur,Wheat,FAQ,2500,2650,2560,09-02-2024
122,Mirzapur,Wheat,FAQ,2450,2600,2530,02-02-2024
123,Mirzapur,Wheat,FAQ,2400,2430,2400,21-11-2024
124,Mirzapur,Wheat,FAQ,2450,2650,2550,06-02-2024
125,Mirzapur,Wheat,FAQ,2300,2400,2350,09-06-2024
126,Mirzapur,Wheat,FAQ,2300,2450,2380,17-06-2024
127,Mirzapur,Wheat,FAQ,2275,2400,2320,25-05-2024
128,Mirzapur,Wheat,FAQ,2450,2600,2530,08-03-2024
129,Mirzapur,Wheat,FAQ,2350,2530,2430,17-03-2024
130,Mirzapur,Wheat,FAQ,2500,2680,2580,19-02-2024
131,Mirzapur,Wheat,FAQ,2300,2500,2400,06-04-2024
132,Mirzapur,Wheat,FAQ,2350,2500,2430,21-03-2024
133,Mirzapur,Wheat,FAQ,2460,2620,2540,20-01-2024
134,Mirzapur,Wheat,FAQ,2275,2320,2280,28-04-2024
135,Mirzapur,Wheat,FAQ,2500,2650,2560,08-02-2024
136,Mirzapur,Wheat,FAQ,2275,2400,2320,31-05-2024
137,Mirzapur,Wheat,FAQ,2300,2400,2350,07-06-2024
138,Mirzapur,Wheat,FAQ,2500,2650,2580,23-02-2024
139,Mirzapur,Wheat,FAQ,2400,2425,2425,19-11-2024
140,Mirzapur,Wheat,FAQ,2450,2620,2530,11-02-2024
