Sl no.,Centre Nane,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
145,Gonda,Masur Dal,7980,8050,8000,25-04-2024
146,Gonda,Masur Dal,7980,8050,8000,26-04-2024
147,Gonda,Masur Dal,7980,8080,8000,12-01-2024
148,Gonda,Masur Dal,7980,8100,8000,17-07-2024
149,Gonda,Masur Dal,7980,8100,8000,18-07-2024
150,Gonda,Masur Dal,7985,8025,8000,19-01-2024
151,Gonda,Masur Dal,7985,8050,8000,19-03-2024
152,Gonda,Masur Dal,7985,8050,8000,20-01-2024
153,Gonda,Masur Dal,7985,8050,8000,23-01-2024
154,Gonda,Masur Dal,8000,8050,8020,16-03-2024
155,Gonda,Masur Dal,8000,8050,8025,08-04-2024
156,Gonda,Masur Dal,8000,8050,8025,17-03-2024
157,Gonda,Masur Dal,8000,8050,8025,18-03-2024
158,Gonda,Masur Dal,8000,8050,8025,18-05-2024
159,Gonda,Masur Dal,8000,8050,8025,21-05-2024
160,Gonda,Masur Dal,8000,8050,8025,23-03-2024
161,Gonda,Masur Dal,8000,8055,8025,08-03-2024
162,Gonda,Masur Dal,8000,8055,8025,09-03-2024
163,Gonda,Masur Dal,8000,8055,8025,11-01-2024
164,Gonda,Masur Dal,8000,8055,8025,16-05-2024
165,Gonda,Masur Dal,8000,8070,8025,07-02-2024
166,Gonda,Masur Dal,8000,8075,8025,15-01-2024
167,Gonda,Masur Dal,8000,8075,8025,16-01-2024
168,Gonda,Masur Dal,8000,8075,8050,04-02-2024
169,Gonda,Masur Dal,8000,8075,8050,05-02-2024
170,Gonda,Masur Dal,8000,8075,8050,29-03-2024
171,Gonda,Masur Dal,8000,8075,8050,30-03-2024
172,Gonda,Masur Dal,8000,8075,8050,31-03-2024
173,Gonda,Masur Dal,8000,8100,8050,05-05-2024
174,Gonda,Masur Dal,8000,8100,8050,06-05-2024
175,Gonda,Masur Dal,8000,8100,8050,10-08-2024
176,Gonda,Masur Dal,8000,8100,8050,11-05-2024
177,Gonda,Masur Dal,8000,8100,8050,12-08-2024
178,Gonda,Masur Dal,8000,8100,8050,12-05-2024
179,Gonda,Masur Dal,8000,8100,8050,13-05-2024
180,Gonda,Masur Dal,8000,8100,8050,14-07-2024
181,Gonda,Masur Dal,8000,8100,8050,15-07-2024
182,Gonda,Masur Dal,8000,8100,8050,16-07-2024
183,Gonda,Masur Dal,8000,8100,8050,20-07-2024
184,Gonda,Masur Dal,8000,8100,8050,28-12-2024
185,Gonda,Masur Dal,8000,8100,8050,29-12-2024
186,Gonda,Masur Dal,8000,8100,8050,30-12-2024
187,Gonda,Masur Dal,8000,8150,8050,10-10-2024
