Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
44,Amarawati,Wheat,FAQ,2650,2950,2800,18-11-2024
45,Amarawati,Wheat,FAQ,2500,2800,2650,21-06-2024
46,Amarawati,Wheat,FAQ,2400,2850,2625,11-01-2024
47,Amarawati,Wheat,FAQ,2700,3050,2875,09-11-2024
48,Amarawati,Wheat,FAQ,2200,2800,2500,15-02-2024
49,Amarawati,Wheat,FAQ,2400,2600,2500,03-01-2024
50,Amarawati,Wheat,FAQ,2250,2750,2550,09-05-2024
51,Amarawati,Wheat,FAQ,2250,2400,2325,22-03-2024
52,Amarawati,Wheat,FAQ,2700,2860,2780,03-10-2024
53,Amarawati,Wheat,FAQ,2400,3000,2700,25-10-2024
54,Amarawati,Wheat,FAQ,2500,2650,2575,16-01-2024
55,Amarawati,Wheat,FAQ,2200,2400,2300,29-04-2024
56,Amarawati,Wheat,FAQ,2200,2650,2425,14-03-2024
57,Amarawati,Wheat,FAQ,2400,2750,2575,19-02-2024
58,Amarawati,Wheat,FAQ,2500,2900,2700,30-09-2024
59,Amarawati,Wheat,FAQ,2300,2750,2525,12-02-2024
60,Amarawati,Wheat,FAQ,2400,3000,2700,17-10-2024
61,Amarawati,Wheat,FAQ,2200,2400,2300,13-03-2024
62,Amarawati,Wheat,FAQ,2250,2550,2400,01-04-2024
63,Amarawati,Wheat,FAQ,2650,3000,2825,14-10-2024
64,Amarawati,Wheat,FAQ,2550,2750,2650,02-08-2024
65,Amarawati,Wheat,FAQ,2750,3100,2925,11-10-2024
66,Amarawati,Wheat,FAQ,2500,2800,2650,24-07-2024
67,Amarawati,Wheat,FAQ,2300,2800,2550,13-05-2024
68,Amarawati,Wheat,FAQ,2350,3150,2625,01-06-2024
69,Amarawati,Wheat,FAQ,2790,3100,2945,19-12-2024
70,Amarawati,Wheat,FAQ,2600,2800,2700,27-09-2024
71,Amarawati,Wheat,FAQ,2300,2500,2400,26-03-2024
72,Amarawati,Wheat,FAQ,2500,2800,2650,16-08-2024
73,Amarawati,Wheat,FAQ,2400,2850,2625,02-02-2024
74,Amarawati,Wheat,FAQ,2500,2800,2650,03-07-2024
75,Amarawati,Wheat,FAQ,2550,2850,2650,12-08-2024
76,Amarawati,Wheat,FAQ,2400,2650,2525,31-01-2024
77,Amarawati,Wheat,FAQ,2150,2600,2375,28-03-2024
78,Amarawati,Wheat,FAQ,2200,2275,2238,02-03-2024
79,Amarawati,Wheat,FAQ,2300,2800,2500,22-05-2024
80,Amarawati,Wheat,FAQ,2250,2550,2400,30-03-2024
81,Amarawati,Wheat,FAQ,2000,2500,2250,29-02-2024
82,Amarawati,Wheat,FAQ,2400,3000,2650,03-06-2024
83,Amarawati,Wheat,FAQ,2550,2857,2704,05-11-2024
84,Amarawati,Wheat,FAQ,2250,2750,2500,01-03-2024
85,Amarawati,Wheat,FAQ,2500,2800,2650,09-07-2024
86,Amarawati,Wheat,FAQ,2200,2800,2500,22-04-2024
87,Amarawati,Wheat,FAQ,2260,2870,2565,08-02-2024
88,Amarawati,Wheat,FAQ,2700,2950,2825,04-12-2024
89,Amarawati,Wheat,FAQ,2350,3300,2650,31-05-2024
90,Amarawati,Wheat,FAQ,2270,2700,2485,21-03-2024
91,Amarawati,Wheat,FAQ,2200,2280,2240,11-03-2024
92,Amarawati,Wheat,FAQ,2500,2550,2525,27-01-2024
93,Amarawati,Wheat,FAQ,2675,2900,2788,23-12-2024
94,Amarawati,Wheat,FAQ,2750,2950,2850,13-11-2024
95,Amarawati,Wheat,FAQ,2050,2900,2475,07-12-2024
96,Amarawati,Wheat,FAQ,2400,2800,2600,24-05-2024
97,Amarawati,Wheat,FAQ,2000,2800,2400,23-08-2024
98,Amarawati,Wheat,FAQ,2700,3050,2875,08-11-2024
99,Amarawati,Wheat,FAQ,2400,2750,2575,20-02-2024
100,Amarawati,Wheat,FAQ,2200,3000,2600,17-05-2024
101,Amarawati,Wheat,FAQ,2500,2800,2650,03-08-2024
102,Amarawati,Wheat,FAQ,2470,3000,2735,07-02-2024
103,Amarawati,Wheat,FAQ,2375,3200,2788,16-05-2024
