Sl no.,District Name,Market Name,Commodity,Variety,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
147,Nanded,Nanded,Turmeric,Other,11990,14095,12700,26-12-2024
148,Nanded,Nanded,Turmeric,Other,11995,13705,12700,18-12-2024
149,Nanded,Nanded,Turmeric,Other,12000,13445,12700,24-12-2024
150,Nanded,Nanded,Turmeric,Other,12000,14345,13500,24-09-2024
151,Nanded,Nanded,Turmeric,Other,12000,15185,14295,09-07-2024
152,Nanded,Nanded,Turmeric,Other,12000,15795,15095,02-07-2024
153,Nanded,Nanded,Turmeric,Other,12000,17850,14895,11-03-2024
154,Nanded,Nanded,Turmeric,Other,12000,18000,15000,15-03-2024
155,Nanded,Nanded,Turmeric,Other,12095,13495,12100,04-12-2024
156,Nanded,Nanded,Turmeric,Other,12095,13800,12500,31-12-2024
157,Nanded,Nanded,Turmeric,Other,12200,14500,14085,11-07-2024
158,Nanded,Nanded,Turmeric,Other,12295,14000,13000,17-12-2024
159,Nanded,Nanded,Turmeric,Other,12295,14000,13050,23-12-2024
160,Nanded,Nanded,Turmeric,Other,12485,14395,13595,01-01-2025
161,Nanded,Nanded,Turmeric,Other,12500,14055,13220,27-08-2024
162,Nanded,Nanded,Turmeric,Other,12500,14845,14200,31-07-2024
163,Nanded,Nanded,Turmeric,Other,12500,16300,15200,28-06-2024
164,Nanded,Nanded,Turmeric,Other,12500,17600,16000,12-03-2024
165,Nanded,Nanded,Turmeric,Other,12745,15500,14580,08-08-2024
166,Nanded,Nanded,Turmeric,Other,13000,15200,14800,22-07-2024
167,Nanded,Nanded,Turmeric,Other,13100,15400,14800,04-07-2024
168,Nanded,Nanded,Turmeric,Other,13350,15300,14800,16-07-2024
169,Nanded,Nanded,Turmeric,Other,13400,17445,15000,03-04-2024
170,Nanded,Nanded,Turmeric,Other,13400,18200,15000,26-03-2024
171,Nanded,Nanded,Turmeric,Other,13500,15695,15000,18-07-2024
172,Nanded,Nanded,Turmeric,Other,14000,17300,15690,19-03-2024
