Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
201,Bankura,Rice,FAQ,3550,3650,3600,15-11-2024
202,Bankura,Rice,FAQ,3550,3650,3600,29-10-2024
203,Bankura,Rice,FAQ,3400,3600,3500,22-08-2024
204,Bankura,Rice,FAQ,3100,3300,3200,02-01-2024
205,Bankura,Rice,FAQ,3400,3600,3500,12-08-2024
206,Bankura,Rice,FAQ,3550,3650,3600,21-10-2024
207,Bankura,Rice,FAQ,3550,3700,3600,25-11-2024
208,Bankura,Rice,FAQ,3200,3300,3250,29-01-2024
209,Bankura,Rice,FAQ,3500,3600,3550,20-12-2024
210,Bankura,Rice,FAQ,3250,3350,3300,30-03-2024
211,Bankura,Rice,FAQ,3500,3600,3550,04-10-2024
212,Bankura,Rice,FAQ,3400,3600,3500,26-08-2024
213,Bankura,Rice,FAQ,3200,3300,3250,19-04-2024
214,Bankura,Rice,FAQ,3200,3300,3250,07-05-2024
215,Bankura,Rice,FAQ,3250,3350,3300,13-04-2024
216,Bankura,Rice,FAQ,3200,3300,3250,27-05-2024
217,Bankura,Rice,FAQ,3550,3650,3600,24-10-2024
218,Bankura,Rice,FAQ,3250,3350,3300,20-03-2024
219,Bankura,Rice,FAQ,3500,3600,3550,08-10-2024
220,Bankura,Rice,FAQ,3100,3200,3160,22-01-2024
221,Bankura,Rice,FAQ,3200,3300,3250,27-01-2024
222,Bankura,Rice,FAQ,2400,3600,3500,06-08-2024
223,Bankura,Rice,FAQ,3100,3200,3160,18-01-2024
224,Bankura,Rice,FAQ,3200,3300,3250,29-05-2024
225,Bankura,Rice,FAQ,3300,3400,3350,13-03-2024
226,Bankura,Rice,FAQ,3250,3350,3300,03-03-2024
227,Bankura,Rice,FAQ,3500,3600,3550,14-09-2024
228,Bankura,Rice,FAQ,3350,3450,3400,21-07-2024
229,Bankura,Rice,FAQ,3200,3300,3250,11-05-2024
230,Bankura,Rice,FAQ,3500,3600,3550,26-09-2024
231,Bankura,Rice,FAQ,3400,3600,3500,14-08-2024
232,Bankura,Rice,FAQ,3250,3350,3300,30-04-2024
233,Bankura,Rice,FAQ,3200,3300,3270,01-04-2024
234,Bankura,Rice,FAQ,3200,3300,3280,23-02-2024
235,Bankura,Rice,FAQ,3200,3300,3250,31-01-2024
236,Bankura,Rice,FAQ,3250,3350,3300,14-02-2024
237,Bankura,Rice,FAQ,3500,3600,3550,24-09-2024
238,Bankura,Rice,FAQ,3100,3300,3200,13-01-2024
239,Bankura,Rice,FAQ,3250,3350,3300,27-03-2024
240,Bankura,Rice,FAQ,3350,3450,3400,22-07-2024
241,Bankura,Rice,FAQ,3350,3500,3400,28-06-2024
242,Bankura,Rice,FAQ,3350,3500,3400,25-07-2024
243,Bankura,Rice,FAQ,3250,3350,3300,08-04-2024
244,Bankura,Rice,FAQ,3500,3600,3550,19-09-2024
245,Bankura,Rice,FAQ,3350,3450,3400,09-07-2024
246,Bankura,Rice,FAQ,3350,3450,3400,03-07-2024
247,Bankura,Rice,FAQ,3550,3650,3600,30-10-2024
248,Bankura,Rice,FAQ,3400,3600,3500,31-07-2024
249,Bankura,Rice,FAQ,3500,3600,3550,02-09-2024
250,Bankura,Rice,FAQ,3300,3400,3350,18-03-2024
251,Bankura,Rice,FAQ,3250,3350,3300,21-03-2024
252,Bankura,Rice,FAQ,3550,3650,3600,01-11-2024
253,Bankura,Rice,FAQ,3500,3600,3550,01-01-2025
254,Bankura,Rice,FAQ,3500,3600,3550,12-09-2024
255,Bankura,Rice,FAQ,3250,3350,3300,07-02-2024
256,Bankura,Rice,FAQ,3250,3350,3300,24-03-2024
257,Bankura,Rice,FAQ,3500,3600,3550,11-12-2024
258,Bankura,Rice,FAQ,3400,3600,3500,08-08-2024
259,Bankura,Rice,FAQ,3450,3600,3500,03-12-2024
260,Bankura,Rice,FAQ,3200,3300,3250,20-05-2024
261,Bankura,Rice,FAQ,3250,3350,3300,15-02-2024
262,Bankura,Rice,FAQ,3200,3300,3270,31-03-2024
263,Bankura,Rice,FAQ,3250,3350,3300,04-02-2024
264,Bankura,Rice,FAQ,3100,3300,3200,17-01-2024
265,Bankura,Rice,FAQ,3350,3450,3400,24-06-2024
266,Bankura,Rice,FAQ,3500,3600,3550,13-12-2024
267,Bankura,Rice,FAQ,3550,3650,3600,20-11-2024
268,Bankura,Rice,FAQ,3200,3300,3250,21-05-2024
269,Bankura,Rice,FAQ,3450,3600,3500,04-12-2024
270,Bankura,Rice,FAQ,3300,3400,3350,03-06-2024
271,Bankura,Rice,FAQ,3100,3200,3160,19-01-2024
272,Bankura,Rice,FAQ,3200,3300,3250,09-05-2024
273,Bankura,Rice,FAQ,3500,3600,3550,14-10-2024
274,Bankura,Rice,FAQ,3500,3600,3550,14-12-2024
275,Bankura,Rice,FAQ,3300,3370,3350,06-06-2024
276,Bankura,Rice,FAQ,3550,3650,3600,06-11-2024
277,Bankura,Rice,FAQ,3400,3600,3500,05-08-2024
278,Bankura,Rice,FAQ,3500,3600,3550,07-09-2024
279,Bankura,Rice,FAQ,3200,3300,3250,28-05-2024
280,Bankura,Rice,FAQ,3400,3600,3500,19-08-2024
281,Bankura,Rice,FAQ,3400,3600,3500,07-08-2024
282,Bankura,Rice,FAQ,3500,3600,3550,07-10-2024
283,Bankura,Rice,FAQ,3250,3350,3300,23-03-2024
284,Bankura,Rice,FAQ,3250,3350,3300,03-05-2024
285,Bankura,Rice,FAQ,3200,3300,3250,15-05-2024
286,Bankura,Rice,FAQ,3500,3600,3550,04-09-2024
287,Bankura,Rice,FAQ,3200,3300,3250,01-06-2024
288,Bankura,Rice,FAQ,3200,3300,3250,13-05-2024
289,Bankura,Rice,FAQ,3200,3300,3250,17-05-2024
290,Bankura,Rice,FAQ,3550,3650,3600,12-11-2024
291,Bankura,Rice,FAQ,3400,3600,3500,16-08-2024
292,Bankura,Rice,FAQ,3150,3300,3200,03-01-2024
293,Bankura,Rice,FAQ,3400,3600,3500,10-08-2024
294,Bankura,Rice,FAQ,3100,3200,3160,20-01-2024
295,Bankura,Rice,FAQ,3500,3600,3550,18-12-2024
296,Bankura,Rice,FAQ,3200,3300,3250,23-04-2024
297,Bankura,Rice,FAQ,3550,3650,3600,10-11-2024
298,Bankura,Rice,FAQ,3350,3450,3400,27-07-2024
